Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Singapore,SGP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Somalia,SOM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sub-Saharan Africa (excluding high income),SSA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sub-Saharan Africa,SSF,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Small states,SST,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Suriname,SUR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Slovak Republic,SVK,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Slovenia,SVN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sweden,SWE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Syrian Arab Republic,SYR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Turks and Caicos Islands,TCA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Thailand,THA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
South Asia (IDA & IBRD),TSA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Tunisia,TUN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Turkiye,TUR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ukraine,UKR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Upper middle income,UMC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Uruguay,URY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
United States,USA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Uzbekistan,UZB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
St. Vincent and the Grenadines,VCT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Venezuela, RB",VEN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
British Virgin Islands,VGB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Virgin Islands (U.S.),VIR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Viet Nam,VNM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Vanuatu,VUT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
World,WLD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Samoa,WSM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Yemen, Rep.",YEM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Antigua and Barbuda,ATG,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Australia,AUS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Austria,AUT,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Azerbaijan,AZE,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Belgium,BEL,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bangladesh,BGD,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bulgaria,BGR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Bahamas, The",BHS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Belarus,BLR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Belize,BLZ,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bermuda,BMU,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bolivia,BOL,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Brazil,BRA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Barbados,BRB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Brunei Darussalam,BRN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Bhutan,BTN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Central Europe and the Baltics,CEB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Switzerland,CHE,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Chile,CHL,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
China,CHN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Colombia,COL,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Costa Rica,CRI,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cuba,CUB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cayman Islands,CYM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Cyprus,CYP,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Czechia,CZE,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Germany,DEU,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Djibouti,DJI,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Dominica,DMA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Denmark,DNK,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Dominican Republic,DOM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Early-demographic dividend,EAR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
East Asia & Pacific,EAS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Europe & Central Asia,ECS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Ecuador,ECU,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Euro area,EMU,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Spain,ESP,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Estonia,EST,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
European Union,EUU,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Fragile and conflict affected situations,FCS,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Finland,FIN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Fiji,FJI,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
France,FRA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Faroe Islands,FRO,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Micronesia, Fed. Sts.",FSM,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
United Kingdom,GBR,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,0.1,0.0
